3570|45865|39
3570|37965|-1
3570|68799|69
3570|97346|46
3570|37158|81
3570|49201|53
3570|77455|60
3570|87615|-1
3570|93806|64
3570|42295|-1
5731|45865|74
5731|37965|94
5731|68799|-1
5731|97346|77
5731|37158|86
5731|49201|86
5731|77455|44
5731|87615|71
5731|93806|76
5731|42295|51
3497|45865|74
3497|37965|56
3497|68799|38
3497|97346|88
3497|37158|-1
3497|49201|95
3497|77455|94
3497|87615|44
3497|93806|-1
3497|42295|68
5428|45865|62
5428|37965|44
5428|68799|79
5428|97346|86
5428|37158|46
5428|49201|60
5428|77455|-1
5428|87615|38
5428|93806|54
5428|42295|80
2851|45865|87
2851|37965|92
2851|68799|56
2851|97346|-1
2851|37158|52
2851|49201|98
2851|77455|85
2851|87615|54
2851|93806|98
2851|42295|94
7793|45865|50
7793|37965|51
7793|68799|-1
7793|97346|-1
7793|37158|-1
7793|49201|100
7793|77455|87
7793|87615|-1
7793|93806|88
7793|42295|67
4201|45865|88
4201|37965|62
4201|68799|-1
4201|97346|89
4201|37158|98
4201|49201|-1
4201|77455|96
4201|87615|80
4201|93806|93
4201|42295|39
1921|45865|90
1921|37965|-1
1921|68799|-1
1921|97346|-1
1921|37158|-1
1921|49201|-1
1921|77455|-1
1921|87615|-1
1921|93806|-1
1921|42295|-1
1600|45865|-1
1600|37965|-1
1600|68799|-1
1600|97346|-1
1600|37158|-1
1600|49201|-1
1600|77455|-1
1600|87615|-1
1600|93806|-1
1600|42295|-1
